Timestamp,Q1Tab,Q2Tab,Q3Tab,Q4Tab,Q5Tab,Q1JavaScript,Q2JavaScript,Q3JavaScript,Q4JavaScript,Q5JavaScript,Q6Tab,Q6JavaScript
11/30/2022 20:02:17,3,4,4,4,4,7,6,6,5,6,I like the ability to filter by searching for title keywords,"Being able to zoom and move was much easier.  The similarity scores were interesting, and I liked exploring the different legend coloring and filters."
12/1/2022 11:44:13,2,3,3,1,2,3,2,2,3,3,Different vector representations,more effective representation/visualization of data points
12/1/2022 12:49:22,7,1,4,2,2,2,5,6,3,2,,
12/1/2022 14:02:53,7,7,7,4,7,7,7,7,4,7,The hover metadata,metadata remains until clicking elsewhere
12/1/2022 19:15:22,5,5,5,2,3,5,6,4,4,3,,
12/2/2022 12:21:30,6,5,5,3,3,5,5,6,5,5,The text filters,The ability to change the legend
12/2/2022 13:27:03,2,2,1,4,2,6,7,7,7,7,You could see all three plots at the same time,much more detail about the plots/features
12/2/2022 13:42:29,5,5,7,2,3,5,3,5,3,5,,
12/2/2022 13:46:34,5,4,4,4,3,4,3,5,3,3,,
12/2/2022 13:50:43,5,4,5,3,3,5,6,7,3,5,,
12/2/2022 13:53:17,6,6,7,4,2,5,6,6,4,3,,
