link,headline,category,short_description,authors,date,text,x,y
https://www.huffingtonpost.com/entry/fresh-pumpkin-recipes-real_n_5902096.html,How To Cook With Pumpkin That Doesn't Come From A Can,HEALTHY LIVING,,Sarah Klein,2014-10-26,How To Cook With Pumpkin That Doesn't Come From A Can ,-29.874878,-6.468671
https://www.huffingtonpost.com/entry/trump-spends-second-day-on-golf-course-after-saying-its-back-to-work_us_5a43bccee4b0b0e5a7a417d8,Trump Spends Second Day At Golf Course After Saying 'It's Back To Work' During Holidays,POLITICS,"As president, he's spent parts of 86 days at golf courses he owns.",Jenna Amatulli,2017-12-27,"Trump Spends Second Day At Golf Course After Saying 'It's Back To Work' During Holidays As president, he's spent parts of 86 days at golf courses he owns.",21.595598,22.089666
https://www.huffingtonpost.com/entry/tiny-risky-unlabeled-and-_b_5379589.html,"Tiny, Risky, Unlabeled and You're Eating it",GREEN,,"Erich Pica, ContributorPresident, Friends of the Earth and FOE Action",2014-05-29,"Tiny, Risky, Unlabeled and You're Eating it ",-23.414576,-7.5732737
https://www.huffingtonpost.com/entry/twa-flight-center-jfk-airport_us_5b9bed36e4b03a1dcc7b2c9a,Inside the TWA Flight Center At New York's JFK Airport (PHOTOS),TRAVEL,"This was the cathedral to aviation, if there ever was one, and you feel through the design the pride and optimism the aviation industry had then.","Untapped Cities, Contributor
Rediscover your city. The go-to-guide for the best art, archit...",2012-06-30,"Inside the TWA Flight Center At New York's JFK Airport (PHOTOS) This was the cathedral to aviation, if there ever was one, and you feel through the design the pride and optimism the aviation industry had then.",-16.537863,7.4288855
https://www.huffingtonpost.com/entry/good-world-news_n_5641857.html,7 Reasons The World Isn't Totally Screwed Right Now,WORLDPOST,,Carina Kolodny,2014-08-06,7 Reasons The World Isn't Totally Screwed Right Now ,-4.616917,16.94445
https://www.huffingtonpost.com/entry/the-psychological-trick-that-could-help-you-reach-your-goals_b_9482438.html,The Psychological Trick That Could Help You Reach Your Goals,HEALTHY LIVING,"Whether your goal is to exercise three-to-five times per week, or to save $100 to $200 per month, establish a reasonable range. When you hit its low end, challenge yourself to keep going. You'll likely find that a little taste of success can motivate you to get to the next level.","Amy Morin, ContributorPsychotherapist and author of '13 Things Mentally Strong Peopl...",2016-03-20,"The Psychological Trick That Could Help You Reach Your Goals Whether your goal is to exercise three-to-five times per week, or to save $100 to $200 per month, establish a reasonable range. When you hit its low end, challenge yourself to keep going. You'll likely find that a little taste of success can motivate you to get to the next level.",-16.285376,-2.6187441
https://www.huffingtonpost.com/entry/how-some-of-londons-bigge_b_6347256.html,How Some of London's Biggest Fashion Bloggers Get Ready for the Party Season (VIDEOS),STYLE,"Despite the festive season coming around again every year and there being countless occasions throughout the year to dress up and attend great parties, it does seem like party season always tends to sneak up on you and catch you in a moment of unpreparedness.","Crane.tv, ContributorContemporary Culture Video Magazine",2014-12-23,"How Some of London's Biggest Fashion Bloggers Get Ready for the Party Season (VIDEOS) Despite the festive season coming around again every year and there being countless occasions throughout the year to dress up and attend great parties, it does seem like party season always tends to sneak up on you and catch you in a moment of unpreparedness.",0.88755274,-17.25996
https://www.huffingtonpost.com/entry/the-limits-of-ideology-le_b_5895760.html,The Limits of Ideology: Lessons from Singapore,WORLDPOST,"Next year will see the 50th anniversary of the creating of Singapore, widely hailed as one of the most successful of the Asian tigers. In that short space of time, the tiny nation state has grown into one of the world's largest financial cities.","Margaret Heffernan, ContributorCEO and Author",2014-09-28,"The Limits of Ideology: Lessons from Singapore Next year will see the 50th anniversary of the creating of Singapore, widely hailed as one of the most successful of the Asian tigers. In that short space of time, the tiny nation state has grown into one of the world's largest financial cities.",-10.051477,20.660652
https://www.huffingtonpost.com/entry/israel-and-us-hide-names-of-companies-supporting-israeli_us_5a258ba7e4b04dacbc9bd97b,Israel And U.S. Hide Names Of Companies Supporting Israeli Settlements,WORLD NEWS,"Israel seeks to suppress the identities of the companies that support the settlements because it is feeling the pinch of the Boycott, Divestment and Sanctions movement.","Marjorie Cohn, ContributorProfessor Emerita at Thomas Jefferson School of Law",2017-12-04,"Israel And U.S. Hide Names Of Companies Supporting Israeli Settlements Israel seeks to suppress the identities of the companies that support the settlements because it is feeling the pinch of the Boycott, Divestment and Sanctions movement.",4.891813,17.147875
https://www.huffingtonpost.com/entry/ted-cruz-basketball-ring-hoosiers_us_57202629e4b0f309baef336e,Ted Cruz Calls Basketball Hoop A 'Ring' And Forever Tarnishes 'Hoosiers',POLITICS,Never forget.,Peter Andrew Hart,2016-04-27,Ted Cruz Calls Basketball Hoop A 'Ring' And Forever Tarnishes 'Hoosiers' Never forget.,13.575847,2.3856819
https://www.huffingtonpost.com/entry/sneak-peak-of-this-is-us-will-make-you-want-to-watch-the-first-episode_us_57e96648e4b0e28b2b556798,Milo Ventimiglia Has A Mustache And Three Young Kids In 'This Is Us' Teaser,ENTERTAINMENT,So adorable we can't stand it.,Carly Ledbetter,2016-09-26,Milo Ventimiglia Has A Mustache And Three Young Kids In 'This Is Us' Teaser So adorable we can't stand it.,19.500616,-3.3105247
https://www.huffingtonpost.com/entry/texting-driving_us_5b9bc519e4b03a1dcc7a347f,Electronically Present,WELLNESS,"I'll admit to texting while driving. I'll further admit to texting someone else while that person's driving. Did I know it was potentially dangerous? Sure, but it was just the one time and, surely, nothing bad would happen. Something bad happened to Shannon Colonna.","Dr. Gregory Jantz , Contributor
Mental Health Expert and Founder of The Center • A Place of HOPE",2012-05-30,"Electronically Present I'll admit to texting while driving. I'll further admit to texting someone else while that person's driving. Did I know it was potentially dangerous? Sure, but it was just the one time and, surely, nothing bad would happen. Something bad happened to Shannon Colonna.",-5.7400928,-4.903743
https://www.huffingtonpost.com/entry/target-lower-manhattan_us_564511dee4b08cda34882a55,Drop Everything: Target Is Coming To Lower Manhattan,STYLE,OMG. OMG. OMG.,Jamie Feldman,2015-11-12,Drop Everything: Target Is Coming To Lower Manhattan OMG. OMG. OMG.,-21.330603,2.992305
https://www.huffingtonpost.com/entry/ok-i-didnt-march-doesnt-mean-i-dont-care_us_59024113e4b05279d4edba34,"I Didn’t March, But It Doesn’t Mean I Don’t Care",WOMEN,"For days leading up to the March for Science I experienced a variety of feelings ranging from curiosity and excitement, to","Lauren Himiak, ContributorWriter, feminist activist, pizza roll enthusiast",2017-04-28,"I Didn’t March, But It Doesn’t Mean I Don’t Care For days leading up to the March for Science I experienced a variety of feelings ranging from curiosity and excitement, to",4.650283,5.4511633
https://www.huffpost.com/entry/blast-us-embassy-beijing_n_5b596703e4b0fd5c73cba766,Blast Near U.S. Embassy In Beijing Injures Suspect,WORLD NEWS,Only the suspect was injured in the explosion.,Nick Visser,2018-07-26,Blast Near U.S. Embassy In Beijing Injures Suspect Only the suspect was injured in the explosion.,4.800446,29.596321
https://www.huffingtonpost.comhttp://www.earthtechling.com/2012/09/wind-turbine-vets-skeptical-about-wwii-vets-design/,Why 'Breakthrough' Wind Turbines Are Usually Bunk,ENVIRONMENT,What’s not to love about a World War II veteran’s revolutionary new wind turbine that’s virtually silent and doesn’t harm,,2012-09-16,Why 'Breakthrough' Wind Turbines Are Usually Bunk What’s not to love about a World War II veteran’s revolutionary new wind turbine that’s virtually silent and doesn’t harm,-5.630413,22.524078
https://www.huffingtonpost.com/entry/livinghomes-ck-series_us_5b9d09b2e4b03a1dcc83f235,"With LivingHomes CK Series, A Sustainable Home Is In Reach (PHOTOS)",HOME & LIVING,"And in most states, they're available for only $250,000 – $370,000.",Rain Embuscado,2013-04-12,"With LivingHomes CK Series, A Sustainable Home Is In Reach (PHOTOS) And in most states, they're available for only $250,000 – $370,000.",-15.926707,9.914457
https://www.huffingtonpost.com/entry/internet-anxiety_us_56f2b88be4b02c402f65e59f,17 Times The Internet Got Real About Anxiety,HEALTHY LIVING,Spot. On.,Lindsay Holmes,2016-03-28,17 Times The Internet Got Real About Anxiety Spot. On.,-7.128881,-4.0470405
https://www.huffingtonpost.com/entry/greg-gutfeld-pope-francis_n_7616156.html,Fox News Pundit Calls Pope Francis 'The Most Dangerous Person On The Planet',RELIGION,,Antonia Blumberg,2015-06-18,Fox News Pundit Calls Pope Francis 'The Most Dangerous Person On The Planet' ,22.619234,11.997637
https://www.huffingtonpost.com/entry/judastraitor-or-hero_b_6875894.html,Judas -- Traitor or Hero?,RELIGION,"Perhaps he was a bit of both. Clearly, his primary association among the canonical Gospels is that of being a traitor, although the ""handing over"" of Jesus to the authorities is not necessarily to be rendered as a ""betrayal"" in the Greek.","Paul N. Anderson, ContributorProfessor, Biblical and Quaker Studies, George Fox University",2015-03-17,"Judas -- Traitor or Hero? Perhaps he was a bit of both. Clearly, his primary association among the canonical Gospels is that of being a traitor, although the ""handing over"" of Jesus to the authorities is not necessarily to be rendered as a ""betrayal"" in the Greek.",25.40322,14.932933
https://www.huffingtonpost.com/entry/artist-killed-oakland-mural_us_560b18e6e4b0dd850309c189,Artist Shot Dead While Working On Oakland Anti-Violence Mural,CRIME,The mural was supposed to inspire big dreams in the troubled neighborhood.,Michael McLaughlin,2015-09-30,Artist Shot Dead While Working On Oakland Anti-Violence Mural The mural was supposed to inspire big dreams in the troubled neighborhood.,4.937702,1.9088167
https://www.huffingtonpost.com/entry/bruma-dog-photos-instagram-dani-de-los-muros_n_6276420.html,This Dog Strikes All Sorts Of Fancy Poses For His BFF Photographer Owner,GOOD NEWS,,Leigh Weingus,2014-12-07,This Dog Strikes All Sorts Of Fancy Poses For His BFF Photographer Owner ,-18.976679,-21.292393
https://www.huffingtonpost.com/entry/the-sound-of-grinding-cru_us_5bb13896e4b09bbe9a5ca260,"The Sound of Grinding, Crunching Metal",ENVIRONMENT,"Each time I looked at him, his mouth was opened but the mystery object was not about to come out.","Myra Sideris, Contributor
Blogger, The Clueless Puppy Owner",2013-04-28,"The Sound of Grinding, Crunching Metal Each time I looked at him, his mouth was opened but the mystery object was not about to come out.",-0.64725125,-8.970516
https://www.huffingtonpost.com/entry/the-meaning-of-fearlessness_us_5b9bee84e4b03a1dcc7b37ba,The Meaning Of Fearlessness (VIDEO),WELLNESS,"In this video, author, spiritual leader and Buddhist teacher Sharon Salzberg relates her insights about what it really means",,2012-07-01,"The Meaning Of Fearlessness (VIDEO) In this video, author, spiritual leader and Buddhist teacher Sharon Salzberg relates her insights about what it really means",-8.582691,-3.1382368
https://www.huffingtonpost.com/entry/macklemore-has-the-perfect-response-to-homophobic-angry-old-white-dudes_us_59cd364fe4b0ef0694271a77,"Macklemore Has The Perfect Response To Homophobic 'Angry, Old White Dudes'",QUEER VOICES,These guys should know better than to challenge the queer ally.,Jenna Amatulli,2017-09-28,"Macklemore Has The Perfect Response To Homophobic 'Angry, Old White Dudes' These guys should know better than to challenge the queer ally.",17.468782,0.37633613
https://www.huffingtonpost.com/entry/trump-will-continue-what-obama-started-america-is-no-longer-the-worlds-policeman_us_582c7d7de4b0e39c1fa74a59,"Like Obama, Trump Is Unlikely to Lead as the World's Policeman",THE WORLDPOST,Obama started dismantling America's global obligations. Trump is likely to take that a step further.,"Fyodor Lukyanov, ContributorEditor, Russia in Global Affairs",2016-11-17,"Like Obama, Trump Is Unlikely to Lead as the World's Policeman Obama started dismantling America's global obligations. Trump is likely to take that a step further.",17.509434,11.600009
https://www.huffingtonpost.com/entry/michael-hayden-dianne-feinstein-torture_us_55f740e1e4b00e2cd5e7b49a,It's Agreed: Former CIA Chief Michael Hayden Didn't Kill Jesus,POLITICS,Sen. Dianne Feinstein graciously says the CIA's torture program didn't go that far.,Ali Watkins,2015-09-15,It's Agreed: Former CIA Chief Michael Hayden Didn't Kill Jesus Sen. Dianne Feinstein graciously says the CIA's torture program didn't go that far.,24.74276,14.395139
https://www.huffingtonpost.com/entry/scandal-costume-designer-lyn-paolo_us_5b9d90b4e4b03a1dcc8995b8,'Scandal' Costume Designer Lyn Paolo On Changing Olivia Pope's White Suit Of Armor (PHOTOS),STYLE & BEAUTY,"Olivia pops up in the Season 3 sneak peek sporting yet another standout white piece, a Burberry Prorsum Double Duchess Caped",Dana Oliver,2013-10-03,"'Scandal' Costume Designer Lyn Paolo On Changing Olivia Pope's White Suit Of Armor (PHOTOS) Olivia pops up in the Season 3 sneak peek sporting yet another standout white piece, a Burberry Prorsum Double Duchess Caped",3.8846452,-17.423824
https://www.huffingtonpost.com/entry/nikki-reed_us_5b9ceacbe4b03a1dcc82ef9d,"Nikki Reed Talks Marriage, Making Music With Husband Paul McDonald",WEDDINGS,"The ""Twilight"" actress told People that she and McDonald, a former contestant on ""American Idol,"" are writing an album together",,2013-03-11,"Nikki Reed Talks Marriage, Making Music With Husband Paul McDonald The ""Twilight"" actress told People that she and McDonald, a former contestant on ""American Idol,"" are writing an album together",-3.2727869,-24.648129
https://www.huffingtonpost.com/entry/trump-new-york-times-lawsuit-threat_us_57ffc3aee4b0162c043aa0b5,"Will Trump Make Good On Threat To Sue The New York Times? LOL, No.",POLITICS,But the threat still serves a purpose.,Jason Linkins,2016-10-13,"Will Trump Make Good On Threat To Sue The New York Times? LOL, No. But the threat still serves a purpose.",17.676756,8.488235
https://www.huffingtonpost.com/entry/bo-pelini-cat-circle-of-life-spring-practice_us_5bb753f2e4b097869fd51106,"Nebraska Football Coach Bo Pelini Reenacted 'Circle Of Life' With Adorable, Terrified Cat (VIDEO)",SPORTS,"Just days after his Cornhuskers upset No. 22 Georgia on New Year's Day, Pelini first acknowledged @FauxPelini on Twitter",Chris Greenberg,2014-04-13,"Nebraska Football Coach Bo Pelini Reenacted 'Circle Of Life' With Adorable, Terrified Cat (VIDEO) Just days after his Cornhuskers upset No. 22 Georgia on New Year's Day, Pelini first acknowledged @FauxPelini on Twitter",11.643496,1.1231543
https://www.huffingtonpost.com/entry/rooftop-bars-with-unbeata_us_5b9c02c1e4b03a1dcc7bbe83,Rooftop Bars With Unbeatable Views (PHOTOS),TRAVEL,"We dig a hotel with a gorgeous view, so it's no surprise we can't stop staring at the photos of these rooftop bars, all atop Condé Nast Traveler-approved properties.","Conde Nast Traveler, Contributor
Conde Nast Traveler",2012-07-25,"Rooftop Bars With Unbeatable Views (PHOTOS) We dig a hotel with a gorgeous view, so it's no surprise we can't stop staring at the photos of these rooftop bars, all atop Condé Nast Traveler-approved properties.",-19.737354,8.367154
https://www.huffingtonpost.com/entry/letting-go_us_5b9d288ae4b03a1dcc84fd50,The Art of Letting Go With Spring Buddha and Dogwood Tree,WELLNESS,Today I decide to let the universe guide me with its eternal wisdom. Today I pray that I learn to let go -- even if it is just for a moment.,"Faisal Hoque, Contributor
Entrepreneur, Author | Founder of SHADOKA and other companies....",2013-05-14,The Art of Letting Go With Spring Buddha and Dogwood Tree Today I decide to let the universe guide me with its eternal wisdom. Today I pray that I learn to let go -- even if it is just for a moment.,-10.0057335,-3.3165395
